Epoch: 078, aver_loss : 0.06743, R@20: 0.1369, N@20: 0.0984, R@10: 0.0827, N@10: 0.0743, R@50: 0.2526, N@50: 0.1392
Epoch: 079, aver_loss : 0.06696, R@20: 0.1369, N@20: 0.0986, R@10: 0.0829, N@10: 0.0745, R@50: 0.2530, N@50: 0.1395
Epoch: 080, aver_loss : 0.06682, R@20: 0.1374, N@20: 0.0988, R@10: 0.0831, N@10: 0.0746, R@50: 0.2533, N@50: 0.1397
Epoch: 081, aver_loss : 0.06659, R@20: 0.1377, N@20: 0.0990, R@10: 0.0832, N@10: 0.0747, R@50: 0.2536, N@50: 0.1398
Epoch: 082, aver_loss : 0.06586, R@20: 0.1379, N@20: 0.0992, R@10: 0.0834, N@10: 0.0749, R@50: 0.2543, N@50: 0.1402
Epoch: 083, aver_loss : 0.06561, R@20: 0.1382, N@20: 0.0994, R@10: 0.0837, N@10: 0.0751, R@50: 0.2544, N@50: 0.1403
Epoch: 084, aver_loss : 0.06586, R@20: 0.1386, N@20: 0.0996, R@10: 0.0838, N@10: 0.0752, R@50: 0.2550, N@50: 0.1406
Epoch: 085, aver_loss : 0.06606, R@20: 0.1387, N@20: 0.0998, R@10: 0.0840, N@10: 0.0754, R@50: 0.2551, N@50: 0.1408
Epoch: 086, aver_loss : 0.06558, R@20: 0.1389, N@20: 0.0999, R@10: 0.0840, N@10: 0.0755, R@50: 0.2551, N@50: 0.1409
Epoch: 087, aver_loss : 0.06533, R@20: 0.1389, N@20: 0.0999, R@10: 0.0841, N@10: 0.0755, R@50: 0.2555, N@50: 0.1410
Epoch: 088, aver_loss : 0.06481, R@20: 0.1393, N@20: 0.1001, R@10: 0.0844, N@10: 0.0757, R@50: 0.2557, N@50: 0.1412
Epoch: 089, aver_loss : 0.06470, R@20: 0.1394, N@20: 0.1003, R@10: 0.0846, N@10: 0.0758, R@50: 0.2561, N@50: 0.1414
Epoch: 090, aver_loss : 0.06480, R@20: 0.1400, N@20: 0.1007, R@10: 0.0847, N@10: 0.0761, R@50: 0.2564, N@50: 0.1417
